timestep,reward
1,-0.2654
136,-0.6396
271,-0.6076
402,-0.5777
537,-0.5691
681,-0.4811
824,-0.4269
958,-0.3435
1093,-0.2652
1221,-0.1776
1350,-0.1549
1487,-0.1557
1614,-0.1797
1756,-0.1626
1891,-0.1614
2029,-0.1708
2165,-0.1742
2291,-0.1402
2424,-0.1574
2567,-0.1375
2698,-0.1266
2841,-0.1149
2977,-0.1185
3108,-0.1362
3242,-0.1073
3376,-0.0956
3519,-0.0767
3659,-0.1033
3795,-0.1028
3935,-0.0822
4075,-0.0914
4208,-0.0761
4347,-0.0878
4486,-0.0974
4618,-0.0929
4757,-0.0826
4890,-0.0622
5034,-0.0858
5180,-0.0883
5315,-0.096
5452,-0.0764
5582,-0.08
5712,-0.0691
5846,-0.0724
5982,-0.0835
6122,-0.0696
6261,-0.0741
6393,-0.0855
6526,-0.0616
6669,-0.0828
6799,-0.0707
6921,-0.0701
7060,-0.0886
7194,-0.0732
7334,-0.0805
7461,-0.0858
7609,-0.0715
7745,-0.0683
7880,-0.0733
8028,-0.0804
8168,-0.0826
8304,-0.0647
8446,-0.0699
8584,-0.071
8723,-0.0931
8874,-0.0778
9022,-0.076
9157,-0.0803
9289,-0.0898
9419,-0.0904
9555,-0.0711
9692,-0.0781
9825,-0.0714
9959,-0.0517
10100,-0.0821
10243,-0.0733
10394,-0.0818
10534,-0.0446
10673,-0.0858
10816,-0.0749
10967,-0.0815
11101,-0.0787
11232,-0.0802
11373,-0.0774
11528,-0.0655
11670,-0.0764
11804,-0.0779
11937,-0.0687
12077,-0.0657
12220,-0.0605
12352,-0.0602
12500,-0.0892
12645,-0.0614
12775,-0.0776
12908,-0.0614
13057,-0.0613
13196,-0.0808
13337,-0.0661
13486,-0.0793
13633,-0.069
13769,-0.0731
13916,-0.0737
14051,-0.0724
14183,-0.0612
14328,-0.0803
14476,-0.0601
14626,-0.0748
14758,-0.0645
14892,-0.072
15038,-0.0728
15179,-0.0736
15329,-0.0633
15476,-0.0667
15622,-0.0807
15774,-0.0678
15922,-0.0761
16068,-0.0533
16203,-0.079
16339,-0.0668
16480,-0.0622
16610,-0.0589
16751,-0.0659
16893,-0.0647
17036,-0.0817
17179,-0.0632
17319,-0.0784
17448,-0.0704
17592,-0.0718
17733,-0.0682
17893,-0.0602
18024,-0.0809
18170,-0.0821
18310,-0.0745
18457,-0.0718
18599,-0.0476
18739,-0.0753
18889,-0.0722
19030,-0.0604
19173,-0.0778
19316,-0.0573
19460,-0.0659
19591,-0.0572
19727,-0.0683
19881,-0.063
20013,-0.0541
20154,-0.0518
20299,-0.0665
20447,-0.0572
20597,-0.0749
20733,-0.067
20872,-0.0781
21008,-0.0705
21144,-0.0721
21281,-0.0671
21426,-0.0895
21574,-0.0699
21715,-0.0803
21862,-0.0653
22013,-0.0767
22155,-0.0613
22295,-0.082
22442,-0.0642
22584,-0.0682
22727,-0.0693
22873,-0.0763
23017,-0.0546
23160,-0.06
23309,-0.0727
23461,-0.0677
23614,-0.068
23764,-0.0478
23903,-0.0651
24048,-0.0768
24195,-0.0723
24340,-0.0734
24480,-0.0639
24619,-0.0899
24759,-0.0451
24901,-0.0615
25045,-0.0713
25191,-0.058
25336,-0.0895
25477,-0.0576
25612,-0.0816
25766,-0.0567
25909,-0.078
26056,-0.0506
26200,-0.0803
26346,-0.0649
26491,-0.0639
26637,-0.0734
26791,-0.0709
26947,-0.0678
27092,-0.0713
27231,-0.0564
27378,-0.0577
27523,-0.0785
27674,-0.067
27818,-0.0636
27966,-0.0623
28114,-0.0744
28265,-0.0725
28405,-0.064
28555,-0.0649
28697,-0.0666
28843,-0.0639
28986,-0.0676
29141,-0.0593
29289,-0.0662
29441,-0.0739
29583,-0.0703
29737,-0.0901
29887,-0.0601
30027,-0.0738
30162,-0.081
